<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.12.20	100.09	117.43	98.76	115.45	76369	0	0
2018.12.21	115.31	119.70	105.68	108.55	77732	0	0
2018.12.22	108.58	117.34	105.91	117.09	77171	0	0
2018.12.23	117.11	133.80	116.96	130.55	78113	0	0
2018.12.24	130.57	159.65	130.30	139.14	79355	0	0
2018.12.25	138.97	140.19	121.86	129.33	79339	0	0
2018.12.26	129.34	137.39	123.71	131.26	78323	0	0
2018.12.27	131.18	132.74	112.88	115.24	77166	0	0
2018.12.28	115.26	139.33	113.96	137.69	76038	0	0
2018.12.29	137.80	147.94	127.69	135.07	78022	0	0
2018.12.30	135.21	140.98	129.18	139.68	77455	0	0
2018.12.31	139.75	140.48	128.36	131.87	74205	0	0
2019.01.01	131.82	142.28	130.59	140.84	73572	0	0
2019.01.02	140.85	158.04	139.53	154.86	75589	0	0
2019.01.03	154.69	156.02	144.97	148.44	76099	0	0
2019.01.04	148.45	157.35	146.06	154.49	76859	0	0
2019.01.05	154.52	161.73	152.41	154.84	78647	0	0
2019.01.06	154.85	160.42	149.08	157.05	76464	0	0
2019.01.07	157.02	158.48	148.95	151.20	60128	0	0
2019.01.08	151.05	153.58	146.06	149.61	71770	0	0
2019.01.09	149.61	153.66	148.23	149.96	67431	0	0
2019.01.10	149.95	151.34	122.33	126.84	72531	0	0
2019.01.11	126.80	128.86	121.66	125.96	72968	0	0
2019.01.12	125.98	127.35	123.37	123.95	76899	0	0
2019.01.13	123.83	125.10	113.50	115.55	77933	0	0
2019.01.14	115.57	131.63	115.09	128.81	76413	0	0
2019.01.15	128.78	130.68	116.84	120.39	76791	0	0
2019.01.16	120.38	127.76	119.25	122.01	77187	0	0
2019.01.17	122.08	123.74	117.01	122.76	71351	0	0
2019.01.18	122.78	123.18	118.12	119.68	69386	0	0
2019.01.19	119.67	126.88	119.49	123.46	67456	0	0
2019.01.20	123.47	124.06	111.89	116.60	75179	0	0
2019.01.21	116.54	118.00	112.92	115.57	73063	0	0
2019.01.22	115.59	119.45	109.64	118.23	67819	0	0
