<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.07.03	1.16411	1.16723	1.16199	1.16587	54972	0	0
2018.07.04	1.16584	1.16808	1.16302	1.16597	44311	0	0
2018.07.05	1.16598	1.17192	1.16489	1.16915	58500	0	0
2018.07.06	1.16914	1.17669	1.16793	1.17431	50846	0	0
2018.07.08	1.17372	1.17529	1.17372	1.17513	2839	0	0
2018.07.09	1.17514	1.17901	1.17322	1.17556	50412	0	0
2018.07.10	1.17555	1.17618	1.16899	1.17278	53034	0	0
2018.07.11	1.17277	1.17574	1.16651	1.16744	62736	0	0
2018.07.12	1.16746	1.16950	1.16493	1.16632	53262	0	0
2018.07.13	1.16633	1.16860	1.16126	1.16824	48410	0	0
2018.07.15	1.16877	1.16896	1.16756	1.16778	2492	0	0
2018.07.16	1.16779	1.17248	1.16750	1.17087	47192	0	0
2018.07.17	1.17086	1.17441	1.16462	1.16525	54319	0	0
2018.07.18	1.16528	1.16639	1.16016	1.16444	52489	0	0
2018.07.19	1.16443	1.16779	1.15740	1.16530	62851	0	0
2018.07.20	1.16529	1.17381	1.16252	1.17176	61367	0	0
2018.07.22	1.17232	1.17439	1.17215	1.17401	3616	0	0
2018.07.23	1.17399	1.17491	1.16831	1.16931	52351	0	0
2018.07.24	1.16928	1.17164	1.16541	1.16840	54211	0	0
2018.07.25	1.16843	1.17379	1.16638	1.17373	57062	0	0
2018.07.26	1.17374	1.17428	1.16348	1.16431	55339	0	0
2018.07.27	1.16432	1.16637	1.16200	1.16530	46850	0	0
2018.07.29	1.16532	1.16595	1.16514	1.16588	2806	0	0
2018.07.30	1.16587	1.17181	1.16474	1.17067	42004	0	0
2018.07.31	1.17067	1.17452	1.16806	1.16885	52392	0	0
2018.08.01	1.16883	1.16989	1.16556	1.16626	49005	0	0
2018.08.02	1.16627	1.16669	1.15791	1.15845	51297	0	0
2018.08.03	1.15843	1.16099	1.15598	1.15658	48368	0	0
2018.08.05	1.15681	1.15686	1.15576	1.15609	3340	0	0
2018.08.06	1.15608	1.15697	1.15295	1.15574	44962	0	0
2018.08.07	1.15573	1.16077	1.15510	1.16025	44062	0	0
2018.08.08	1.16024	1.16272	1.15727	1.16086	44209	0	0
2018.08.09	1.16087	1.16185	1.15141	1.15236	50335	0	0
2018.08.10	1.15234	1.15357	1.13876	1.14085	67608	0	0
2018.08.12	1.13946	1.14070	1.13688	1.13941	3641	0	0
2018.08.13	1.13941	1.14322	1.13643	1.13999	66098	0	0
2018.08.14	1.13998	1.14289	1.13297	1.13462	58893	0	0
2018.08.15	1.13460	1.13542	1.13005	1.13413	59589	0	0
2018.08.16	1.13411	1.14085	1.13353	1.13713	61157	0	0
2018.08.17	1.13713	1.14442	1.13657	1.14368	50623	0	0
2018.08.19	1.14390	1.14390	1.14333	1.14372	3202	0	0
2018.08.20	1.14371	1.14914	1.13939	1.14913	50115	0	0
2018.08.21	1.14912	1.16004	1.14847	1.15753	61247	0	0
2018.08.22	1.15754	1.16223	1.15529	1.15854	55462	0	0
2018.08.23	1.15851	1.15901	1.15295	1.15414	55801	0	0
2018.08.24	1.15413	1.16391	1.15376	1.16199	52028	0	0
2018.08.26	1.16156	1.16469	1.16151	1.16446	3622	0	0
2018.08.27	1.16445	1.16928	1.15935	1.16835	50033	0	0
2018.08.28	1.16835	1.17328	1.16620	1.16929	55204	0	0
2018.08.29	1.16929	1.17094	1.16515	1.17090	56903	0	0
