<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.04.14	23:00:00	1.08223	1.08247	1.08221	1.08223	146	0	30
2022.04.14	23:15:00	1.08225	1.08225	1.08146	1.08150	173	0	31
2022.04.14	23:30:00	1.08149	1.08163	1.08128	1.08161	52	0	31
2022.04.14	23:45:00	1.08160	1.08207	1.08150	1.08199	336	0	31
2022.04.15	00:00:00	1.08198	1.08202	1.08131	1.08135	333	0	31
2022.04.15	00:15:00	1.08134	1.08135	1.08122	1.08125	89	0	31
2022.04.15	00:30:00	1.08124	1.08137	1.08119	1.08137	43	0	31
2022.04.15	00:45:00	1.08136	1.08149	1.07971	1.08079	419	0	31
2022.04.15	01:00:00	1.08078	1.08119	1.08052	1.08116	502	0	31
2022.04.15	01:15:00	1.08115	1.08120	1.08077	1.08110	204	0	31
2022.04.15	01:30:00	1.08111	1.08120	1.08110	1.08112	40	0	31
2022.04.15	01:45:00	1.08111	1.08138	1.08105	1.08110	130	0	30
2022.04.15	02:00:00	1.08111	1.08118	1.08103	1.08113	110	0	30
2022.04.15	02:15:00	1.08115	1.08119	1.08107	1.08115	92	0	31
2022.04.15	02:30:00	1.08114	1.08123	1.08094	1.08094	52	0	31
2022.04.15	02:45:00	1.08093	1.08117	1.07952	1.07955	189	0	30
2022.04.15	03:00:00	1.07961	1.08044	1.07954	1.07999	460	0	31
2022.04.15	03:15:00	1.07998	1.08024	1.07980	1.07989	221	0	30
2022.04.15	03:30:00	1.07986	1.08002	1.07981	1.08000	35	0	31
2022.04.15	03:45:00	1.07999	1.08038	1.07994	1.08029	134	0	30
2022.04.15	04:00:00	1.08030	1.08038	1.08020	1.08025	108	0	31
2022.04.15	04:15:00	1.08023	1.08023	1.08009	1.08015	61	0	31
2022.04.15	04:30:00	1.08018	1.08026	1.08015	1.08018	57	0	31
2022.04.15	04:45:00	1.08019	1.08052	1.08019	1.08042	66	0	31
2022.04.15	05:00:00	1.08038	1.08057	1.08031	1.08047	54	0	31
2022.04.15	05:15:00	1.08046	1.08052	1.08045	1.08047	22	0	31
2022.04.15	05:30:00	1.08044	1.08058	1.08030	1.08055	42	0	31
2022.04.15	05:45:00	1.08056	1.08059	1.08044	1.08044	72	0	31
2022.04.15	06:00:00	1.08050	1.08055	1.08046	1.08046	57	0	20
2022.04.15	06:15:00	1.08047	1.08053	1.08043	1.08046	69	0	20
2022.04.15	06:30:00	1.08045	1.08056	1.08042	1.08053	45	0	20
2022.04.15	06:45:00	1.08054	1.08064	1.08022	1.08027	74	0	20
2022.04.15	07:00:00	1.08029	1.08070	1.08027	1.08069	127	0	20
2022.04.15	07:15:00	1.08068	1.08073	1.08059	1.08073	56	0	20
2022.04.15	07:30:00	1.08072	1.08076	1.08057	1.08063	36	0	20
2022.04.15	07:45:00	1.08066	1.08105	1.08062	1.08103	43	0	30
2022.04.15	08:00:00	1.08102	1.08122	1.08080	1.08115	97	0	30
2022.04.15	08:15:00	1.08116	1.08153	1.08114	1.08137	49	0	30
2022.04.15	08:30:00	1.08136	1.08167	1.08121	1.08166	60	0	30
2022.04.15	08:45:00	1.08167	1.08221	1.08162	1.08174	139	0	31
2022.04.15	09:00:00	1.08172	1.08179	1.08137	1.08175	119	0	31
2022.04.15	09:15:00	1.08177	1.08180	1.08151	1.08174	49	0	30
2022.04.15	09:30:00	1.08173	1.08176	1.08137	1.08141	51	0	30
2022.04.15	09:45:00	1.08140	1.08168	1.08109	1.08126	337	0	31
2022.04.15	10:00:00	1.08125	1.08155	1.08098	1.08130	428	0	31
2022.04.15	10:15:00	1.08127	1.08136	1.08099	1.08127	379	0	31
2022.04.15	10:30:00	1.08128	1.08133	1.08100	1.08107	154	0	31
2022.04.15	10:45:00	1.08103	1.08103	1.08056	1.08072	83	0	30
2022.04.15	11:00:00	1.08070	1.08071	1.08061	1.08066	39	0	30
2022.04.15	11:15:00	1.08065	1.08065	1.08036	1.08058	88	0	30
2022.04.15	11:30:00	1.08060	1.08078	1.08043	1.08076	62	0	30
2022.04.15	11:45:00	1.08079	1.08140	1.08079	1.08138	124	0	30
2022.04.15	12:00:00	1.08142	1.08182	1.08099	1.08173	321	0	30
2022.04.15	12:15:00	1.08175	1.08175	1.08144	1.08165	122	0	30
2022.04.15	12:30:00	1.08166	1.08166	1.08118	1.08119	82	0	30
2022.04.15	12:45:00	1.08120	1.08129	1.08114	1.08116	84	0	30
2022.04.15	13:00:00	1.08115	1.08120	1.08089	1.08095	149	0	30
2022.04.15	13:15:00	1.08096	1.08099	1.08053	1.08060	99	0	30
2022.04.15	13:30:00	1.08059	1.08086	1.08057	1.08079	69	0	30
2022.04.15	13:45:00	1.08081	1.08121	1.08064	1.08114	112	0	31
2022.04.15	14:00:00	1.08117	1.08117	1.08079	1.08089	69	0	32
2022.04.15	14:15:00	1.08087	1.08087	1.08059	1.08076	55	0	31
2022.04.15	14:30:00	1.08078	1.08085	1.08075	1.08075	33	0	31
2022.04.15	14:45:00	1.08077	1.08088	1.08051	1.08063	59	0	31
2022.04.15	15:00:00	1.08058	1.08065	1.08049	1.08064	30	0	41
2022.04.15	15:15:00	1.08062	1.08062	1.08043	1.08043	15	0	42
2022.04.15	15:30:00	1.08045	1.08081	1.08045	1.08062	86	0	42
2022.04.15	15:45:00	1.08059	1.08068	1.08038	1.08060	156	0	42
2022.04.15	16:00:00	1.08059	1.08059	1.08044	1.08052	52	0	43
2022.04.15	16:15:00	1.08053	1.08081	1.08049	1.08072	89	0	42
2022.04.15	16:30:00	1.08075	1.08076	1.08055	1.08058	70	0	43
2022.04.15	16:45:00	1.08057	1.08063	1.08043	1.08048	41	0	42
2022.04.15	17:00:00	1.08041	1.08054	1.08038	1.08044	56	0	42
2022.04.15	17:15:00	1.08042	1.08055	1.08041	1.08053	50	0	43
2022.04.15	17:30:00	1.08052	1.08065	1.08051	1.08052	86	0	43
2022.04.15	17:45:00	1.08051	1.08088	1.08051	1.08076	108	0	42
2022.04.15	18:00:00	1.08075	1.08079	1.08061	1.08063	86	0	46
2022.04.15	18:15:00	1.08068	1.08075	1.08063	1.08071	68	0	44
2022.04.15	18:30:00	1.08067	1.08087	1.08067	1.08087	50	0	43
2022.04.15	18:45:00	1.08086	1.08088	1.08078	1.08082	61	0	42
2022.04.15	19:00:00	1.08080	1.08081	1.08063	1.08070	40	0	42
2022.04.15	19:15:00	1.08071	1.08078	1.08046	1.08047	60	0	44
2022.04.15	19:30:00	1.08048	1.08068	1.08047	1.08061	55	0	43
2022.04.15	19:45:00	1.08062	1.08070	1.08054	1.08063	97	0	45
2022.04.15	20:00:00	1.08059	1.08074	1.08058	1.08067	132	0	48
2022.04.15	20:15:00	1.08071	1.08098	1.08070	1.08092	86	0	45
2022.04.15	20:30:00	1.08090	1.08109	1.08083	1.08085	119	0	45
2022.04.15	20:45:00	1.08083	1.08122	1.08064	1.08095	158	0	50
2022.04.17	21:00:00	1.08045	1.08051	1.08026	1.08047	16	0	25
2022.04.17	21:15:00	1.08048	1.08059	1.08037	1.08056	18	0	25
2022.04.17	21:30:00	1.08055	1.08064	1.08054	1.08064	8	0	25
2022.04.17	21:45:00	1.08066	1.08074	1.08066	1.08071	16	0	10
2022.04.17	22:00:00	1.08080	1.08111	1.08031	1.08101	196	0	10
2022.04.17	22:15:00	1.08100	1.08107	1.08030	1.08071	319	0	10
2022.04.17	22:30:00	1.08072	1.08137	1.08066	1.08132	207	0	10
2022.04.17	22:45:00	1.08131	1.08211	1.08123	1.08203	390	0	10
2022.04.17	23:00:00	1.08201	1.08201	1.08148	1.08180	578	0	10
2022.04.17	23:15:00	1.08181	1.08202	1.08159	1.08201	214	0	10
2022.04.17	23:30:00	1.08203	1.08212	1.08154	1.08154	156	0	10
2022.04.17	23:45:00	1.08152	1.08156	1.08124	1.08136	167	0	10
2022.04.18	00:00:00	1.08138	1.08156	1.08113	1.08134	174	0	8
2022.04.18	00:15:00	1.08131	1.08133	1.08041	1.08048	300	0	8
2022.04.18	00:30:00	1.08049	1.08052	1.07957	1.07964	309	0	8
2022.04.18	00:45:00	1.07962	1.08020	1.07931	1.08006	459	0	8
2022.04.18	01:00:00	1.08005	1.08042	1.07954	1.08028	265	0	8
2022.04.18	01:15:00	1.08026	1.08096	1.07972	1.08086	691	0	8
2022.04.18	01:30:00	1.08084	1.08098	1.08051	1.08070	287	0	8
2022.04.18	01:45:00	1.08069	1.08115	1.08059	1.08065	265	0	8
2022.04.18	02:00:00	1.08067	1.08090	1.08022	1.08024	270	0	8
2022.04.18	02:15:00	1.08025	1.08027	1.07982	1.07989	179	0	8
2022.04.18	02:30:00	1.07987	1.07991	1.07956	1.07966	181	0	8
2022.04.18	02:45:00	1.07966	1.08027	1.07963	1.08014	156	0	8
2022.04.18	03:00:00	1.08015	1.08022	1.07943	1.07962	183	0	8
2022.04.18	03:15:00	1.07964	1.07984	1.07947	1.07965	203	0	8
2022.04.18	03:30:00	1.07966	1.07982	1.07935	1.07936	150	0	8
2022.04.18	03:45:00	1.07936	1.07939	1.07905	1.07927	192	0	8
2022.04.18	04:00:00	1.07927	1.07958	1.07910	1.07958	224	0	8
2022.04.18	04:15:00	1.07959	1.07962	1.07913	1.07923	167	0	8
2022.04.18	04:30:00	1.07922	1.07923	1.07892	1.07918	88	0	8
2022.04.18	04:45:00	1.07916	1.07934	1.07891	1.07921	139	0	8
2022.04.18	05:00:00	1.07922	1.07940	1.07903	1.07918	152	0	8
2022.04.18	05:15:00	1.07916	1.07920	1.07894	1.07908	154	0	8
2022.04.18	05:30:00	1.07906	1.07933	1.07905	1.07914	128	0	8
2022.04.18	05:45:00	1.07913	1.07945	1.07883	1.07940	215	0	8
2022.04.18	06:00:00	1.07938	1.07967	1.07917	1.07946	228	0	8
2022.04.18	06:15:00	1.07947	1.07977	1.07903	1.07947	246	0	8
2022.04.18	06:30:00	1.07946	1.07997	1.07932	1.07954	244	0	8
2022.04.18	06:45:00	1.07955	1.07991	1.07931	1.07935	208	0	8
2022.04.18	07:00:00	1.07932	1.08002	1.07932	1.07995	237	0	8
2022.04.18	07:15:00	1.07996	1.08033	1.07985	1.07985	246	0	8
2022.04.18	07:30:00	1.07983	1.07985	1.07873	1.07874	306	0	8
2022.04.18	07:45:00	1.07875	1.07934	1.07868	1.07911	329	0	8
2022.04.18	08:00:00	1.07909	1.07942	1.07854	1.07862	213	0	8
2022.04.18	08:15:00	1.07862	1.07883	1.07829	1.07852	179	0	8
2022.04.18	08:30:00	1.07852	1.07925	1.07850	1.07896	179	0	8
2022.04.18	08:45:00	1.07898	1.07923	1.07896	1.07915	138	0	8
2022.04.18	09:00:00	1.07917	1.07979	1.07915	1.07942	228	0	8
2022.04.18	09:15:00	1.07941	1.07970	1.07921	1.07934	123	0	8
2022.04.18	09:30:00	1.07932	1.07946	1.07929	1.07944	91	0	8
2022.04.18	09:45:00	1.07941	1.07941	1.07892	1.07924	134	0	8
2022.04.18	10:00:00	1.07922	1.07966	1.07899	1.07942	178	0	8
2022.04.18	10:15:00	1.07940	1.07959	1.07916	1.07946	143	0	8
2022.04.18	10:30:00	1.07948	1.07986	1.07947	1.07970	139	0	8
2022.04.18	10:45:00	1.07968	1.08009	1.07966	1.08003	131	0	8
2022.04.18	11:00:00	1.08003	1.08036	1.08003	1.08035	139	0	8
2022.04.18	11:15:00	1.08035	1.08097	1.08021	1.08093	248	0	8
2022.04.18	11:30:00	1.08093	1.08101	1.08038	1.08062	216	0	8
2022.04.18	11:45:00	1.08060	1.08132	1.08050	1.08087	327	0	8
2022.04.18	12:00:00	1.08089	1.08089	1.08008	1.08013	313	0	8
2022.04.18	12:15:00	1.08012	1.08082	1.07988	1.08067	420	0	8
2022.04.18	12:30:00	1.08069	1.08139	1.08054	1.08071	306	0	8
2022.04.18	12:45:00	1.08069	1.08076	1.08014	1.08046	290	0	8
2022.04.18	13:00:00	1.08047	1.08086	1.07963	1.07981	477	0	8
2022.04.18	13:15:00	1.07980	1.08037	1.07979	1.08018	501	0	8
2022.04.18	13:30:00	1.08019	1.08099	1.07987	1.08036	812	0	8
2022.04.18	13:45:00	1.08034	1.08103	1.07988	1.08001	664	0	8
