<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.07.03	145.705	146.370	145.273	145.671	64555	0	0
2018.07.04	145.669	146.346	145.558	146.157	60911	0	0
2018.07.05	146.156	146.857	145.829	146.168	66062	0	0
2018.07.06	146.167	146.762	146.116	146.717	56659	0	0
2018.07.08	147.025	147.072	146.710	146.815	5818	0	0
2018.07.09	146.814	147.600	146.099	147.038	72533	0	0
2018.07.10	147.041	147.775	146.879	146.962	74108	0	0
2018.07.11	146.960	148.118	146.792	147.873	84085	0	0
2018.07.12	147.874	148.880	147.857	148.462	74245	0	0
2018.07.13	148.465	148.714	147.639	148.635	66142	0	0
2018.07.15	148.399	148.761	148.399	148.656	5126	0	0
2018.07.16	148.657	149.298	148.508	148.741	61148	0	0
2018.07.17	148.739	149.076	147.576	148.103	72300	0	0
2018.07.18	148.104	148.218	146.857	147.502	69389	0	0
2018.07.19	147.502	147.533	146.152	146.315	74676	0	0
2018.07.20	146.315	146.648	145.966	146.254	70761	0	0
2018.07.22	146.160	146.413	145.980	145.985	6909	0	0
2018.07.23	145.985	146.161	145.665	146.037	68477	0	0
2018.07.24	146.036	146.315	145.447	146.313	65937	0	0
2018.07.25	146.309	146.503	145.759	146.312	71853	0	0
2018.07.26	146.311	146.391	145.661	145.695	64621	0	0
2018.07.27	145.698	145.707	145.260	145.364	56304	0	0
2018.07.29	145.339	145.501	145.325	145.433	5796	0	0
2018.07.30	145.434	145.911	145.403	145.796	57709	0	0
2018.07.31	145.795	146.993	145.355	146.696	72997	0	0
2018.08.01	146.696	147.135	146.304	146.515	61106	0	0
2018.08.02	146.512	146.580	145.000	145.383	65849	0	0
2018.08.03	145.383	145.532	144.502	144.643	55345	0	0
2018.08.05	144.632	144.659	144.484	144.614	2819	0	0
2018.08.06	144.611	144.723	144.033	144.095	55751	0	0
2018.08.07	144.094	144.423	143.800	144.134	53786	0	0
2018.08.08	144.133	144.259	142.721	142.813	58253	0	0
2018.08.09	142.811	143.478	142.331	142.484	60835	0	0
2018.08.10	142.490	142.502	140.939	141.615	70710	0	0
2018.08.12	140.711	141.340	140.711	141.149	6466	0	0
2018.08.13	141.149	141.823	140.231	141.139	74670	0	0
2018.08.14	141.136	142.459	140.997	141.480	68460	0	0
2018.08.15	141.479	141.755	139.889	140.338	71571	0	0
2018.08.16	140.338	141.301	140.198	141.111	72221	0	0
2018.08.17	141.110	141.155	140.219	140.836	57780	0	0
2018.08.19	140.893	140.903	140.776	140.812	5326	0	0
2018.08.20	140.810	141.202	140.578	140.769	58322	0	0
2018.08.21	140.768	142.668	140.657	142.096	66163	0	0
2018.08.22	142.095	142.796	141.990	142.699	61715	0	0
2018.08.23	142.697	142.995	142.415	142.633	60185	0	0
2018.08.24	142.632	143.221	142.509	142.851	49134	0	0
2018.08.26	142.876	143.136	142.799	143.086	5552	0	0
2018.08.27	143.087	143.333	142.517	143.320	55420	0	0
2018.08.28	143.319	143.651	142.950	143.029	60476	0	0
2018.08.29	143.027	145.593	142.813	145.582	65533	0	0
2018.08.30	145.578	145.672	144.233	144.422	66562	0	0
2018.08.31	144.422	144.678	143.493	143.836	62363	0	0
2018.09.02	143.694	143.694	143.412	143.602	6303	0	0
2018.09.03	143.601	143.620	142.822	142.937	57780	0	0
2018.09.04	142.936	143.369	142.582	143.309	66231	0	0
2018.09.05	143.308	144.952	142.642	143.912	68016	0	0
2018.09.06	143.915	144.219	142.749	142.791	67746	0	0
2018.09.07	142.790	144.415	142.600	143.413	65602	0	0
2018.09.09	143.444	143.571	143.304	143.400	4881	0	0
2018.09.10	143.396	145.016	143.061	144.774	58546	0	0
2018.09.11	144.774	145.896	144.343	145.288	63720	0	0
2018.09.12	145.287	145.599	144.668	145.065	63155	0	0
2018.09.13	145.063	146.876	145.005	146.860	61403	0	0
2018.09.14	146.865	147.000	146.247	146.419	59566	0	0
2018.09.16	146.381	146.451	146.301	146.337	4934	0	0
2018.09.17	146.337	147.447	146.302	146.809	63933	0	0
2018.09.18	146.807	147.975	146.774	147.826	71209	0	0
2018.09.19	147.825	148.510	147.164	147.603	72200	0	0
2018.09.20	147.602	149.299	147.337	149.269	67930	0	0
2018.09.21	149.270	149.702	146.991	147.188	63572	0	0
2018.09.23	147.124	147.230	146.960	147.173	5552	0	0
2018.09.24	147.173	148.285	146.936	147.913	64056	0	0
2018.09.25	147.911	149.006	147.801	148.894	63069	0	0
