<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.04.19	22:30:00	168.230	168.260	168.077	168.107	379	0	76
2022.04.19	22:45:00	168.109	168.206	167.953	168.176	262	0	76
2022.04.19	23:00:00	168.204	168.216	167.898	168.062	762	0	20
2022.04.19	23:15:00	168.064	168.122	168.005	168.091	428	0	20
2022.04.19	23:30:00	168.094	168.188	168.069	168.152	393	0	20
2022.04.19	23:45:00	168.156	168.331	168.118	168.308	506	0	20
2022.04.20	00:00:00	168.305	168.305	168.050	168.163	1037	0	20
2022.04.20	00:15:00	168.160	168.199	168.044	168.085	796	0	20
2022.04.20	00:30:00	168.088	168.226	168.018	168.199	658	0	20
2022.04.20	00:45:00	168.202	168.415	168.202	168.321	887	0	20
2022.04.20	01:00:00	168.317	168.389	167.856	168.151	2171	0	20
2022.04.20	01:15:00	168.148	168.156	167.930	168.056	1904	0	20
2022.04.20	01:30:00	168.060	168.397	168.049	168.307	1368	0	20
2022.04.20	01:45:00	168.303	168.374	167.937	168.071	1465	0	20
2022.04.20	02:00:00	168.075	168.245	168.022	168.141	996	0	20
2022.04.20	02:15:00	168.138	168.162	167.575	167.738	2095	0	20
2022.04.20	02:30:00	167.736	167.833	167.606	167.635	1516	0	20
2022.04.20	02:45:00	167.636	167.811	167.635	167.781	741	0	20
2022.04.20	03:00:00	167.778	167.778	167.186	167.220	1751	0	20
2022.04.20	03:15:00	167.218	167.398	167.047	167.144	1797	0	20
2022.04.20	03:30:00	167.147	167.350	167.137	167.205	1481	0	20
2022.04.20	03:45:00	167.202	167.455	167.190	167.380	1171	0	20
2022.04.20	04:00:00	167.383	167.630	167.383	167.582	811	0	20
2022.04.20	04:15:00	167.585	167.739	167.529	167.553	986	0	20
2022.04.20	04:30:00	167.556	167.676	167.490	167.627	745	0	20
2022.04.20	04:45:00	167.629	167.636	167.502	167.584	622	0	20
2022.04.20	05:00:00	167.587	167.607	167.498	167.564	593	0	20
2022.04.20	05:15:00	167.562	167.660	167.523	167.638	570	0	20
2022.04.20	05:30:00	167.635	167.780	167.591	167.667	755	0	20
2022.04.20	05:45:00	167.664	167.706	167.563	167.688	579	0	20
2022.04.20	06:00:00	167.684	167.723	167.567	167.630	813	0	20
2022.04.20	06:15:00	167.626	167.655	167.469	167.528	685	0	20
2022.04.20	06:30:00	167.532	167.696	167.532	167.679	661	0	20
2022.04.20	06:45:00	167.680	167.719	167.539	167.560	800	0	20
2022.04.20	07:00:00	167.557	167.560	167.222	167.301	1764	0	20
2022.04.20	07:15:00	167.304	167.428	167.170	167.387	1285	0	20
2022.04.20	07:30:00	167.385	167.469	167.239	167.285	937	0	20
2022.04.20	07:45:00	167.287	167.292	167.176	167.277	892	0	20
2022.04.20	08:00:00	167.280	167.390	167.208	167.341	862	0	20
2022.04.20	08:15:00	167.344	167.460	167.315	167.460	419	0	20
2022.04.20	08:30:00	167.456	167.498	167.360	167.438	545	0	20
2022.04.20	08:45:00	167.436	167.443	167.228	167.297	755	0	20
2022.04.20	09:00:00	167.300	167.392	167.030	167.038	883	0	20
2022.04.20	09:15:00	167.041	167.187	167.041	167.058	665	0	20
2022.04.20	09:30:00	167.055	167.065	166.660	166.724	1897	0	20
2022.04.20	09:45:00	166.727	166.955	166.727	166.874	790	0	20
2022.04.20	10:00:00	166.875	166.896	166.595	166.661	1101	0	20
2022.04.20	10:15:00	166.658	166.950	166.515	166.926	1476	0	20
2022.04.20	10:30:00	166.929	167.068	166.872	166.996	912	0	20
2022.04.20	10:45:00	167.000	167.035	166.828	166.834	740	0	20
2022.04.20	11:00:00	166.831	167.036	166.798	167.025	817	0	20
2022.04.20	11:15:00	167.023	167.128	166.936	166.960	740	0	20
2022.04.20	11:30:00	166.956	166.960	166.822	166.843	604	0	20
2022.04.20	11:45:00	166.844	166.934	166.719	166.901	934	0	20
2022.04.20	12:00:00	166.904	166.983	166.842	166.953	783	0	20
2022.04.20	12:15:00	166.950	167.106	166.919	167.070	733	0	20
2022.04.20	12:30:00	167.066	167.195	166.975	167.161	1012	0	20
2022.04.20	12:45:00	167.160	167.253	167.089	167.234	991	0	20
2022.04.20	13:00:00	167.231	167.232	167.084	167.120	1141	0	20
2022.04.20	13:15:00	167.117	167.117	166.892	166.991	1143	0	20
2022.04.20	13:30:00	166.988	167.197	166.931	167.034	1435	0	20
2022.04.20	13:45:00	167.037	167.073	166.885	166.939	989	0	20
2022.04.20	14:00:00	166.938	166.975	166.576	166.730	1398	0	20
2022.04.20	14:15:00	166.733	166.733	166.425	166.527	1565	0	20
2022.04.20	14:30:00	166.537	166.605	166.457	166.564	1097	0	20
2022.04.20	14:45:00	166.562	166.654	166.488	166.580	1045	0	20
2022.04.20	15:00:00	166.576	166.616	166.510	166.610	863	0	20
2022.04.20	15:15:00	166.612	166.749	166.551	166.747	514	0	20
2022.04.20	15:30:00	166.750	166.801	166.661	166.784	499	0	20
2022.04.20	15:45:00	166.787	166.856	166.751	166.779	530	0	20
2022.04.20	16:00:00	166.776	166.782	166.664	166.668	428	0	20
2022.04.20	16:15:00	166.670	166.802	166.649	166.763	405	0	20
2022.04.20	16:30:00	166.764	166.889	166.754	166.852	451	0	20
2022.04.20	16:45:00	166.854	166.919	166.853	166.896	388	0	20
