<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.06.28	00:00:00	16.076	16.114	15.905	15.996	22343	0	0
2018.06.29	00:00:00	15.995	16.144	15.945	16.061	23444	0	0
2018.07.01	00:00:00	16.087	16.107	16.080	16.095	478	0	0
2018.07.02	00:00:00	16.095	16.101	15.752	15.840	20862	0	0
2018.07.03	00:00:00	15.839	16.025	15.767	16.015	19501	0	0
2018.07.04	00:00:00	16.014	16.131	15.976	16.067	15526	0	0
2018.07.05	00:00:00	16.066	16.081	15.911	16.034	17842	0	0
2018.07.06	00:00:00	16.033	16.061	15.931	15.989	15682	0	0
2018.07.08	00:00:00	16.019	16.045	15.938	16.042	167	0	0
2018.07.09	00:00:00	16.042	16.196	16.025	16.098	14958	0	0
2018.07.10	00:00:00	16.096	16.141	15.884	15.998	18880	0	0
2018.07.11	00:00:00	15.996	16.003	15.761	15.790	21325	0	0
2018.07.12	00:00:00	15.789	15.973	15.741	15.922	16474	0	0
2018.07.13	00:00:00	15.920	15.967	15.655	15.773	18396	0	0
2018.07.15	00:00:00	15.806	15.810	15.793	15.796	181	0	0
2018.07.16	00:00:00	15.793	15.859	15.726	15.778	14105	0	0
2018.07.17	00:00:00	15.778	15.844	15.531	15.551	17365	0	0
2018.07.18	00:00:00	15.554	15.593	15.377	15.542	20461	0	0
2018.07.19	00:00:00	15.542	15.553	15.158	15.305	25293	0	0
2018.07.20	00:00:00	15.306	15.523	15.223	15.472	23173	0	0
2018.07.22	00:00:00	15.499	15.517	15.415	15.510	481	0	0
2018.07.23	00:00:00	15.510	15.538	15.335	15.365	20760	0	0
2018.07.24	00:00:00	15.365	15.578	15.309	15.468	21716	0	0
2018.07.25	00:00:00	15.469	15.612	15.427	15.604	20021	0	0
2018.07.26	00:00:00	15.602	15.647	15.355	15.393	18513	0	0
2018.07.27	00:00:00	15.392	15.518	15.308	15.445	18491	0	0
2018.07.29	00:00:00	15.478	15.482	15.462	15.469	223	0	0
2018.07.30	00:00:00	15.472	15.525	15.380	15.486	13494	0	0
2018.07.31	00:00:00	15.485	15.591	15.345	15.498	19086	0	0
2018.08.01	00:00:00	15.499	15.511	15.358	15.384	17462	0	0
2018.08.02	00:00:00	15.383	15.456	15.271	15.298	20856	0	0
2018.08.03	00:00:00	15.298	15.533	15.227	15.364	22129	0	0
2018.08.05	00:00:00	15.399	15.423	15.393	15.417	328	0	0
2018.08.06	00:00:00	15.416	15.471	15.259	15.299	18372	0	0
2018.08.07	00:00:00	15.300	15.469	15.285	15.376	19384	0	0
2018.08.08	00:00:00	15.378	15.445	15.266	15.400	19680	0	0
2018.08.09	00:00:00	15.400	15.491	15.348	15.412	20170	0	0
2018.08.10	00:00:00	15.413	15.425	15.259	15.259	26480	0	0
