<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.06.28	1252.884	1254.229	1245.910	1248.581	81353	0	0
2018.06.29	1248.551	1255.573	1245.978	1252.533	79160	0	0
2018.07.01	1253.020	1254.149	1252.785	1253.365	2202	0	0
2018.07.02	1253.329	1253.576	1239.648	1242.103	75367	0	0
2018.07.03	1242.105	1256.819	1237.914	1254.923	76943	0	0
2018.07.04	1254.923	1261.034	1253.985	1256.914	59939	0	0
2018.07.05	1256.908	1259.690	1251.262	1257.276	79228	0	0
2018.07.06	1257.317	1258.700	1252.776	1254.736	70199	0	0
2018.07.08	1255.830	1256.555	1255.637	1256.397	1155	0	0
2018.07.09	1256.377	1265.847	1255.423	1258.360	69082	0	0
2018.07.10	1258.350	1260.294	1247.330	1255.913	75041	0	0
2018.07.11	1255.912	1256.024	1241.507	1242.673	82809	0	0
2018.07.12	1242.671	1248.510	1241.290	1245.993	72577	0	0
2018.07.13	1245.942	1248.029	1236.388	1241.512	71700	0	0
2018.07.15	1241.630	1242.103	1241.064	1241.118	1341	0	0
2018.07.16	1241.084	1245.518	1238.302	1240.685	66871	0	0
2018.07.17	1240.688	1244.927	1226.064	1227.119	78965	0	0
2018.07.18	1227.168	1229.081	1221.047	1227.335	75252	0	0
2018.07.19	1227.334	1228.950	1211.435	1223.425	86977	0	0
2018.07.20	1223.439	1232.205	1215.673	1231.498	86294	0	0
2018.07.22	1231.819	1233.267	1231.500	1232.849	2812	0	0
2018.07.23	1232.845	1235.039	1222.211	1224.211	79101	0	0
2018.07.24	1224.211	1229.421	1218.045	1225.120	79516	0	0
2018.07.25	1225.151	1234.107	1223.213	1233.042	83144	0	0
2018.07.26	1233.060	1235.133	1222.310	1224.085	81832	0	0
2018.07.27	1224.066	1227.256	1217.538	1222.619	71534	0	0
2018.07.29	1223.091	1223.572	1222.006	1222.439	1397	0	0
2018.07.30	1222.455	1225.028	1219.000	1222.479	63080	0	0
2018.07.31	1222.503	1228.450	1214.003	1223.896	77859	0	0
2018.08.01	1223.900	1224.683	1215.741	1217.771	74675	0	0
2018.08.02	1217.796	1221.032	1207.015	1208.352	77261	0	0
2018.08.03	1208.351	1219.955	1204.451	1213.262	70839	0	0
2018.08.05	1213.690	1215.044	1213.516	1214.790	1573	0	0
2018.08.06	1214.789	1217.817	1206.004	1208.687	70535	0	0
2018.08.07	1208.691	1216.098	1207.771	1212.388	67610	0	0
2018.08.08	1212.391	1215.755	1206.202	1213.255	69448	0	0
2018.08.09	1213.266	1217.244	1210.744	1212.093	70764	0	0
2018.08.10	1212.077	1217.055	1205.726	1211.004	82611	0	0
2018.08.12	1212.460	1213.801	1211.927	1212.318	2155	0	0
2018.08.13	1212.291	1212.562	1191.497	1192.799	88892	0	0
2018.08.14	1192.767	1198.650	1192.057	1193.887	76417	0	0
2018.08.15	1193.888	1194.128	1173.089	1173.750	87899	0	0
2018.08.16	1173.750	1181.960	1160.182	1175.328	93001	0	0
2018.08.17	1175.324	1184.952	1171.900	1184.730	79434	0	0
2018.08.19	1183.230	1183.792	1182.915	1183.535	1707	0	0
2018.08.20	1183.519	1191.251	1182.868	1191.173	71674	0	0
2018.08.21	1191.174	1196.942	1187.643	1195.951	79416	0	0
2018.08.22	1195.993	1201.544	1192.580	1195.066	75882	0	0
2018.08.23	1195.049	1195.440	1183.861	1184.487	78759	0	0
2018.08.24	1184.489	1208.517	1183.097	1205.638	76385	0	0
2018.08.26	1206.470	1207.867	1206.054	1207.786	2329	0	0
2018.08.27	1207.746	1212.319	1203.106	1211.015	70362	0	0
2018.08.28	1211.007	1214.240	1199.616	1202.634	78242	0	0
2018.08.29	1202.634	1207.793	1201.376	1207.132	75833	0	0
2018.08.30	1207.153	1207.216	1196.244	1199.870	79717	0	0
2018.08.31	1199.865	1208.789	1198.273	1200.848	81215	0	0
2018.09.02	1199.640	1200.007	1198.719	1199.095	1723	0	0
2018.09.03	1199.094	1203.818	1195.522	1200.751	54228	0	0
2018.09.04	1200.745	1201.964	1189.626	1191.991	81192	0	0
2018.09.05	1191.990	1198.332	1190.904	1197.074	74276	0	0
2018.09.06	1197.082	1206.918	1195.680	1201.112	80309	0	0
2018.09.07	1201.116	1203.478	1193.405	1195.623	79758	0	0
2018.09.09	1195.010	1196.234	1194.902	1196.117	1686	0	0
2018.09.10	1196.089	1198.421	1191.524	1195.008	70973	0	0
2018.09.11	1195.011	1199.343	1187.715	1197.004	71420	0	0
2018.09.12	1197.005	1208.441	1192.586	1206.205	79607	0	0
2018.09.13	1206.200	1212.615	1200.116	1202.073	78687	0	0
2018.09.14	1202.074	1208.504	1192.897	1193.235	73488	0	0
2018.09.16	1194.160	1194.368	1193.014	1193.366	1706	0	0
2018.09.17	1193.364	1204.765	1192.773	1198.369	76140	0	0
2018.09.18	1198.371	1203.473	1195.844	1199.503	79657	0	0
2018.09.19	1199.496	1206.147	1198.211	1203.945	75241	0	0
2018.09.20	1203.942	1208.365	1201.037	1207.354	78278	0	0
2018.09.21	1207.365	1211.006	1191.846	1199.512	78753	0	0
2018.09.23	1197.680	1198.440	1197.033	1197.935	1502	0	0
2018.09.24	1197.932	1204.111	1194.391	1199.281	70254	0	0
2018.09.25	1199.307	1203.269	1197.039	1201.191	70191	0	0
2018.09.26	1201.194	1202.393	1190.490	1196.461	77666	0	0
2018.09.27	1196.408	1198.555	1181.877	1183.541	79713	0	0
2018.09.28	1183.530	1193.699	1180.744	1191.768	76471	0	0
2018.09.30	1191.410	1192.131	1190.673	1190.872	1971	0	0
2018.10.01	1190.877	1192.040	1184.552	1188.994	75678	0	0
2018.10.02	1189.013	1208.160	1188.721	1205.487	85193	0	0
2018.10.03	1205.491	1208.216	1196.457	1197.928	83865	0	0
2018.10.04	1197.930	1206.649	1195.979	1199.055	85570	0	0
2018.10.05	1199.048	1205.713	1197.220	1202.678	76873	0	0
2018.10.07	1203.120	1203.970	1202.859	1203.755	1636	0	0
2018.10.08	1203.753	1204.040	1182.418	1190.650	78599	0	0
2018.10.09	1190.672	1191.805	1183.311	1189.840	80717	0	0
2018.10.10	1189.827	1194.775	1185.282	1193.880	82027	0	0
2018.10.11	1193.905	1226.272	1191.240	1221.251	101285	0	0
2018.10.12	1221.266	1223.444	1215.814	1217.801	58039	0	0
2018.10.14	1218.857	1220.249	1218.857	1219.204	1383	0	0
2018.10.15	1219.203	1233.204	1219.203	1226.768	57022	0	0
2018.10.16	1226.770	1232.331	1223.343	1224.911	55786	0	0
2018.10.17	1224.911	1229.433	1220.597	1222.194	59947	0	0
2018.10.18	1222.195	1230.053	1218.669	1225.835	61002	0	0
2018.10.19	1225.834	1230.727	1223.113	1226.292	56465	0	0
2018.10.21	1228.066	1228.122	1226.754	1227.274	2346	0	0
