<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.01.28	12:30:00	1788.340	1790.499	1788.110	1788.534	1197	0	200
2022.01.28	12:45:00	1788.521	1788.932	1784.874	1785.830	1226	0	200
2022.01.28	13:00:00	1785.859	1790.644	1784.475	1790.448	1839	0	200
2022.01.28	13:15:00	1790.446	1792.513	1785.077	1785.529	2325	0	200
2022.01.28	13:30:00	1785.409	1790.878	1785.409	1786.538	4615	0	200
2022.01.28	13:45:00	1786.523	1787.958	1784.405	1786.303	2890	0	200
2022.01.28	14:00:00	1786.334	1788.852	1785.690	1785.690	2036	0	200
2022.01.28	14:15:00	1785.720	1785.814	1780.453	1783.555	2216	0	200
2022.01.28	14:30:00	1783.523	1786.554	1782.279	1786.554	3041	0	200
2022.01.28	14:45:00	1786.563	1789.507	1785.526	1786.493	2622	0	200
2022.01.28	15:00:00	1786.459	1792.755	1786.065	1787.933	2598	0	200
2022.01.28	15:15:00	1787.902	1788.656	1783.310	1784.418	2428	0	200
2022.01.28	15:30:00	1784.449	1785.025	1781.665	1783.822	2236	0	200
2022.01.28	15:45:00	1783.791	1786.353	1782.708	1782.833	2232	0	200
2022.01.28	16:00:00	1782.803	1784.812	1782.462	1784.499	1598	0	200
2022.01.28	16:15:00	1784.475	1786.374	1783.981	1784.306	1461	0	200
2022.01.28	16:30:00	1784.337	1786.393	1782.124	1782.622	1653	0	200
2022.01.28	16:45:00	1782.630	1785.174	1782.469	1785.174	1348	0	200
2022.01.28	17:00:00	1785.209	1785.751	1783.332	1783.332	1085	0	200
2022.01.28	17:15:00	1783.333	1783.387	1781.935	1783.152	1176	0	200
2022.01.28	17:30:00	1783.169	1783.351	1781.868	1783.328	1102	0	200
2022.01.28	17:45:00	1783.359	1784.554	1783.175	1783.946	1044	0	200
2022.01.28	18:00:00	1783.979	1787.122	1783.979	1786.932	1327	0	200
2022.01.28	18:15:00	1786.901	1786.938	1785.472	1785.610	997	0	200
2022.01.28	18:30:00	1785.645	1788.304	1785.645	1787.778	911	0	200
2022.01.28	18:45:00	1787.766	1787.766	1786.326	1786.612	771	0	200
2022.01.28	19:00:00	1786.616	1787.069	1784.435	1784.565	781	0	200
2022.01.28	19:15:00	1784.534	1785.371	1784.305	1784.777	757	0	200
2022.01.28	19:30:00	1784.794	1785.335	1784.473	1784.790	684	0	200
2022.01.28	19:45:00	1784.800	1787.078	1784.769	1786.902	878	0	200
2022.01.28	20:00:00	1786.938	1788.800	1786.748	1788.676	903	0	200
2022.01.28	20:15:00	1788.694	1789.053	1788.346	1788.878	764	0	200
2022.01.28	20:30:00	1788.866	1788.922	1788.036	1788.714	832	0	200
2022.01.28	20:45:00	1788.713	1789.434	1788.076	1788.775	806	0	200
2022.01.28	21:00:00	1788.806	1790.044	1788.521	1790.016	529	0	200
2022.01.28	21:15:00	1790.018	1790.230	1789.417	1789.906	356	0	200
2022.01.28	21:30:00	1789.911	1791.086	1789.890	1791.065	349	0	200
2022.01.28	21:45:00	1791.063	1792.096	1791.036	1791.634	389	0	200
2022.01.30	23:00:00	1789.345	1790.225	1788.327	1789.302	651	0	200
2022.01.30	23:15:00	1789.317	1790.545	1789.287	1789.937	484	0	200
2022.01.30	23:30:00	1789.952	1790.575	1789.121	1789.640	684	0	200
2022.01.30	23:45:00	1789.608	1790.023	1788.506	1789.464	704	0	200
2022.01.31	00:00:00	1789.494	1789.895	1789.092	1789.189	580	0	200
2022.01.31	00:15:00	1789.186	1789.724	1788.465	1789.060	674	0	200
2022.01.31	00:30:00	1789.058	1789.058	1788.251	1788.333	449	0	200
2022.01.31	00:45:00	1788.302	1788.388	1787.183	1787.193	517	0	200
2022.01.31	01:00:00	1787.225	1788.603	1786.257	1786.846	838	0	200
2022.01.31	01:15:00	1786.854	1787.685	1786.522	1787.593	698	0	200
2022.01.31	01:30:00	1787.589	1789.129	1787.559	1788.917	678	0	200
2022.01.31	01:45:00	1788.909	1790.243	1788.531	1790.234	600	0	200
2022.01.31	02:00:00	1790.231	1790.231	1789.100	1789.100	561	0	200
2022.01.31	02:15:00	1789.084	1789.981	1788.926	1788.943	614	0	200
2022.01.31	02:30:00	1788.911	1789.419	1788.598	1788.731	504	0	200
2022.01.31	02:45:00	1788.761	1788.787	1787.760	1788.512	604	0	200
2022.01.31	03:00:00	1788.518	1788.685	1787.644	1787.941	524	0	200
2022.01.31	03:15:00	1787.943	1788.098	1787.360	1787.901	525	0	200
2022.01.31	03:30:00	1787.870	1788.039	1787.084	1787.118	520	0	200
2022.01.31	03:45:00	1787.111	1787.353	1786.595	1786.957	626	0	200
2022.01.31	04:00:00	1786.982	1787.019	1785.425	1785.440	575	0	200
2022.01.31	04:15:00	1785.622	1786.567	1785.552	1786.567	523	0	200
2022.01.31	04:30:00	1786.565	1787.362	1785.825	1787.263	525	0	200
2022.01.31	04:45:00	1787.262	1787.371	1787.011	1787.244	404	0	200
2022.01.31	05:00:00	1787.254	1787.602	1786.609	1787.559	520	0	200
2022.01.31	05:15:00	1787.590	1787.760	1786.961	1787.461	485	0	200
2022.01.31	05:30:00	1787.455	1789.311	1787.296	1789.219	646	0	200
2022.01.31	05:45:00	1789.235	1789.359	1788.794	1789.179	497	0	200
2022.01.31	06:00:00	1789.177	1789.299	1788.279	1788.551	719	0	200
2022.01.31	06:15:00	1788.559	1788.939	1788.090	1788.253	533	0	200
2022.01.31	06:30:00	1788.222	1789.185	1788.156	1788.729	551	0	200
2022.01.31	06:45:00	1788.727	1788.906	1788.249	1788.381	644	0	200
2022.01.31	07:00:00	1788.350	1788.891	1786.275	1787.344	1079	0	200
2022.01.31	07:15:00	1787.350	1787.765	1785.980	1786.317	895	0	200
2022.01.31	07:30:00	1786.313	1787.286	1786.313	1787.098	903	0	200
2022.01.31	07:45:00	1787.094	1789.198	1786.935	1788.730	885	0	200
2022.01.31	08:00:00	1788.763	1789.640	1786.821	1788.340	1286	0	200
2022.01.31	08:15:00	1788.349	1791.547	1787.725	1791.112	1237	0	200
2022.01.31	08:30:00	1791.107	1792.249	1789.835	1792.055	1160	0	200
2022.01.31	08:45:00	1792.076	1792.382	1790.556	1790.637	912	0	200
2022.01.31	09:00:00	1790.669	1792.441	1790.463	1791.391	802	0	200
2022.01.31	09:15:00	1791.423	1791.800	1789.632	1790.876	757	0	200
2022.01.31	09:30:00	1790.885	1790.929	1789.719	1790.247	763	0	200
2022.01.31	09:45:00	1790.216	1790.775	1788.870	1789.526	805	0	200
2022.01.31	10:00:00	1789.502	1789.867	1788.400	1788.880	758	0	200
2022.01.31	10:15:00	1788.874	1790.250	1788.872	1789.911	745	0	200
2022.01.31	10:30:00	1789.941	1790.923	1789.744	1790.500	900	0	200
2022.01.31	10:45:00	1790.495	1792.116	1790.491	1791.782	716	0	200
2022.01.31	11:00:00	1791.813	1792.237	1790.973	1791.925	681	0	200
2022.01.31	11:15:00	1791.892	1792.012	1791.058	1791.445	631	0	200
2022.01.31	11:30:00	1791.476	1791.548	1789.468	1789.685	798	0	200
2022.01.31	11:45:00	1789.688	1793.470	1789.685	1792.263	984	0	200
2022.01.31	12:00:00	1792.269	1792.319	1790.739	1791.414	1062	0	200
2022.01.31	12:15:00	1791.383	1792.084	1790.447	1792.084	851	0	200
2022.01.31	12:30:00	1792.090	1792.344	1790.640	1791.862	949	0	200
2022.01.31	12:45:00	1791.858	1792.406	1790.991	1791.983	998	0	200
2022.01.31	13:00:00	1792.028	1792.106	1789.990	1790.751	1274	0	200
2022.01.31	13:15:00	1790.741	1792.394	1789.518	1790.306	1868	0	200
2022.01.31	13:30:00	1790.317	1793.187	1789.527	1792.474	2353	0	200
2022.01.31	13:45:00	1792.506	1797.930	1792.111	1797.637	2233	0	200
2022.01.31	14:00:00	1797.670	1798.005	1795.105	1796.032	1611	0	200
2022.01.31	14:15:00	1796.002	1797.576	1795.614	1796.855	1438	0	200
2022.01.31	14:30:00	1796.825	1799.479	1796.189	1797.713	2602	0	200
2022.01.31	14:45:00	1797.633	1798.995	1795.158	1795.701	1997	0	200
2022.01.31	15:00:00	1795.731	1796.642	1793.566	1796.328	1819	0	200
2022.01.31	15:15:00	1796.340	1797.368	1794.796	1797.235	1647	0	200
2022.01.31	15:30:00	1797.116	1797.288	1793.875	1794.733	1285	0	200
2022.01.31	15:45:00	1794.763	1796.726	1793.052	1796.102	1659	0	200
2022.01.31	16:00:00	1796.126	1798.003	1795.426	1796.590	1519	0	200
2022.01.31	16:15:00	1796.621	1797.161	1795.221	1795.542	1261	0	200
2022.01.31	16:30:00	1795.510	1796.858	1795.292	1796.268	1146	0	200
2022.01.31	16:45:00	1796.252	1797.849	1795.820	1797.111	1060	0	200
2022.01.31	17:00:00	1797.144	1798.699	1796.301	1798.468	1017	0	200
2022.01.31	17:15:00	1798.453	1798.562	1795.776	1795.936	788	0	200
2022.01.31	17:30:00	1795.942	1796.358	1794.833	1795.743	849	0	200
2022.01.31	17:45:00	1795.738	1797.056	1795.724	1796.902	761	0	200
2022.01.31	18:00:00	1796.872	1797.136	1795.867	1796.688	788	0	200
2022.01.31	18:15:00	1796.654	1796.822	1794.911	1795.807	1082	0	200
2022.01.31	18:30:00	1795.838	1797.821	1795.838	1797.817	822	0	200
2022.01.31	18:45:00	1797.820	1797.976	1797.010	1797.859	671	0	200
2022.01.31	19:00:00	1797.875	1799.841	1797.814	1798.630	757	0	200
2022.01.31	19:15:00	1798.643	1799.107	1797.902	1799.096	709	0	200
2022.01.31	19:30:00	1799.086	1799.710	1798.758	1799.343	691	0	200
